url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci,total_comodos,categoria_area,categoria_preco
/imovel/rural-4-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-17-1213737,"Rua 17, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 2,00 ha",2.0,20000.0,"VENDE-SE  CHÁCARA NO NÚCLEO RURAL LAGO OESTE PARA MORADIA, LAZER E EVENTOS  !",1400000.0,70.0,9,3,0,32411,12,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-zona-rural-planaltina-df-df-128-cruzamento-com-df-205-posto-da-cprv-1125698,"DF 128 Cruzamento com DF 205 Posto da CPRV, ZONA RURAL, PLANALTINA","Venda Rural 2,00 ha",2.0,20000.0,"(61) 3595-1212 OPORTUNIDADE ÚNICA: CHCARA DE 20.000m² NO CERRADO, ESCRITURADA",200000.0,10.0,0,0,0,23202,0,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-3-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-12-1172998,"Rua 12, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 2,00 ha",2.0,20000.0,"Chácara à venda de 20.000m², próxima à pista, toda cercada e com topografia plana.",960000.0,48.0,3,1,3,3545,4,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-2-quartos-venda-setor-oeste-gama-df-ponte-alta-de-cima-1161990,"Ponte Alta de Cima, SETOR OESTE, GAMA","Venda Rural 0,03 ha",0.03,300.0,"Chácara com 2 dormitórios à venda, 30000 m² por R$ 950.000,00 - Ponte Alta - Gama/DF",760000.0,2.0,2,0,10,CJ1704,2,Pequeno (≤1 ha),Médio (500k-1.5M)
/imovel/rural-3-quartos-venda-lago-norte-brasilia-df-area-rural-953582,"Area Rural, LAGO NORTE, BRASILIA","Venda Rural 0,04 ha",0.04,400.0,Imobiliária Área Rural do Lago Norte -Chácara Área Rural do Lago Norte à venda,2250000.0,5.0,3,3,3,21418,6,Pequeno (≤1 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-jardim-botanico-brasilia-df-rodovia-df-135-km-9-939431,"Rodovia DF 135 KM 9, JARDIM BOTANICO, BRASILIA","Venda Rural 2,00 ha",2.0,20000.0,CHACARA COM VISTA SENSACIONAL,290000.0,14.0,0,0,0,24770,0,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-4-quartos-venda-setor-residencial-mestre-darmas-planaltina-df-rodovia-df-128-955422,"Rodovia DF 128, SETOR RESIDENCIAL MESTRE DARMAS, PLANALTINA","Venda Rural 2,90 ha",2.9,29000.0,", SELECIONE Sitio 51 com 29 Hectares - DF 128",4350000.0,150.0,4,2,0,21418,6,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-4-quartos-venda-zona-rural-sobradinho-df-rodovia-df-250-km-12-fazenda-velha-1084468,"Rodovia DF 250 Km 12 Fazenda Velha, ZONA RURAL, SOBRADINHO","Venda Rural 0,31 ha",0.31,3100.0,,240000.0,77.0,4,0,0,31097,4,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-jardim-botanico-brasilia-df-rodovia-df-135-km-9-1088955,"Rodovia DF 135 KM 9, JARDIM BOTANICO, BRASILIA","Venda Rural 2,00 ha",2.0,20000.0,Condominio fechado e novo,285000.0,14.0,0,0,0,24770,0,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-4-quartos-venda-lago-norte-brasilia-df-smln-mi-trecho-05-1155970,"SMLN MI Trecho 05, LAGO NORTE, BRASILIA","Venda Rural 2,40 ha",2.4,24000.0,"SMLN MI TRECHO 5 - Chácara à venda, 24.000,00m², Lago Norte, DF",10380000.0,432.0,4,0,0,3545,4,Médio (1-10 ha),Muito Alto (>5M)
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-294219,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 0,02 ha",0.02,200.0,Chácara - Paranoá DF TERRENO ESCRITURADO E REGISTRADO NO 2° OFÍCIO,310000.0,1.0,0,0,0,25474,0,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-4-quartos-venda-zona-rural-planaltina-df-rodovia-br-020-km-13-1017774,"Rodovia BR 020 KM 13, ZONA RURAL, PLANALTINA","Venda Rural 42,00 ha",42.0,420000.0,CHÁCARA NO CÓRREGO DO ARROZAL,2200000.0,5.0,4,4,5,0025854,8,Grande (10-100 ha),Alto (1.5M-5M)
/imovel/rural-4-quartos-venda-ponte-alta-gama-df-avenida-sao-francisco-888662,"Avenida São Francisco, PONTE ALTA, GAMA","Venda Rural 1,20 ha",1.2,12000.0,CHÁCARA NA PONTE ALTA - GAMA,7200000.0,600.0,4,0,0,26903,4,Médio (1-10 ha),Muito Alto (>5M)
/imovel/rural-2-quartos-venda-regiao-dos-lagos-sobradinho-df-rodovia-df-0250-km-15-946158,"RODOVIA DF 0250 KM 1,5, REGIAO DOS LAGOS, SOBRADINHO","Venda Rural 32,00 ha",32.0,320000.0,,1400000.0,4.0,2,2,0,5580,4,Grande (10-100 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-lago-norte-brasilia-df-smln-mi-trecho-05-898711,"SMLN MI Trecho 05, LAGO NORTE, BRASILIA","Venda Rural 2,31 ha",2.31,23100.0,,9220000.0,399.0,0,0,6,14574,0,Médio (1-10 ha),Muito Alto (>5M)
/imovel/rural-3-quartos-venda-jardim-botanico-brasilia-df-rodovia-df-251-405372,"Rodovia DF 251, JARDIM BOTANICO, BRASILIA","Venda Rural 2,00 ha",2.0,20000.0,MARAVILHOSA CHÁCARA ÀS MARGENS DO RIO SÃO BARTOLOMEU!,500000.0,25.0,3,1,0,24203,4,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-4-quartos-venda-planaltina-planaltina-df-rodovia-df-345-1148498,"Rodovia DF 345, PLANALTINA, PLANALTINA","Venda Rural 5,00 ha",5.0,50000.0,REFUGIO RURAL MUITO PROXIMO DE BRASILIA,900000.0,18.0,5,3,20,20576,8,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-4-quartos-venda-lago-sul-brasilia-df-shis-qi-28-1001568,"SHIS QI 28, LAGO SUL, BRASILIA","Venda Rural 1,08 ha",1.08,10800.0,SHIS QI 28 CHACARA  COM 10.800M² DE TERRENO - 5 SUÍTES,10500000.0,972.0,5,5,6,25942,10,Médio (1-10 ha),Muito Alto (>5M)
/imovel/rural-0-quartos-venda-zona-rural-aguas-lindas-de-goias-go-quadra-a-1129280,"Quadra A, ZONA RURAL, AGUAS LINDAS DE GOIAS","Venda Rural 0,03 ha",0.03,300.0,DUAS CHÁCARAS CONTIGUAS DE 5.000M² CADA - PADRE LÚCIO GO LOCALIZAÇÃO PRIVILEGIADA,990000.0,3.0,0,0,10,25227,0,Pequeno (≤1 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-ceilandia-norte-ceilandia-df-rodovia-br-070-1061655,"Rodovia BR 070, CEILANDIA NORTE, CEILANDIA","Venda Rural 25,17 ha",25.17,251700.00000000003,Incra 9 Parceria sólida com a JBS,5500000.0,21.0,0,0,0,27277,0,Grande (10-100 ha),Muito Alto (>5M)
/imovel/rural-3-quartos-venda-lago-norte-brasilia-df-corrego-do-urubu-1069894,"Córrego do Urubu, LAGO NORTE, BRASILIA","Venda Rural 0,31 ha",0.31,3100.0,"Chácara à venda no Lago Norte/DF, no Córrego do Urubu com 3.140 m² de terreno",1550000.0,493.0,3,2,0,24663,5,Pequeno (≤1 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-18-217374,"Rua 18, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 2,00 ha",2.0,20000.0,Chácara a venda / 02 Casas / Piscina / Churrasqueira,2800000.0,140.0,0,0,4,23202,0,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-brazlandia-brazlandia-df-rodovia-df-001-1122254,"RODOVIA DF 001, BRAZLANDIA, BRAZLANDIA","Venda Rural 0,05 ha",0.05,500.0,"Porteira fechada. A 700 m²  da Rodovia. Rica em Recursos hídricos, possibilidade de parcelamento.",4800000.0,9.0,0,0,8,15343,0,Pequeno (≤1 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-sudoeste-brasilia-df-rodovia-df-180-1111282,"Rodovia DF 180, SUDOESTE, BRASILIA","Venda Rural 22,50 ha",22.5,225000.0,Chácara Escriturada - Zona Rural - Próxima a cidade 22 hectares - Aceita financiamento,2800000.0,12.0,0,0,0,30954,0,Grande (10-100 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-zona-rural-brasilia-df-rodovia-df-001-quadra-10-boqueirao-1220504,"Rodovia DF 001, Quadra 10 (Boqueirão), ZONA RURAL, BRASILIA","Venda Rural 1,30 ha",1.3,13000.0,córrego e muitas nascentes dentro do terreno,260000.0,20.0,0,0,0,24770,0,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-zona-rural-ceilandia-df-rodovia-br-070-km-17-st-de-chacaras-agusmao-1187585,"Rodovia BR 070, km 17 St de Chácaras A.Gusmão, ZONA RURAL, CEILANDIA","Venda Rural 21,60 ha",21.6,216000.0,,6500000.0,30.0,0,0,0,23201,0,Grande (10-100 ha),Muito Alto (>5M)
/imovel/rural-0-quartos-venda-zona-rural-ceilandia-df-gleba-03-nucleo-rural-alexandre-gusmao-1200121,"Gleba 03 Nucleo Rural Alexandre Gusmao, ZONA RURAL, CEILANDIA","Venda Rural 2,70 ha",2.7,27000.0,**CHÁCARA TODA FORMADA COM 27.000m² ** CHÁCARA A 1KM DO ASFALTO - ESTUDA PERMUTA POR IMÓVEL NA VICENTE PIRES E ARNIQUEIRA,1150000.0,42.0,0,0,10,25227,0,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-zona-rural-santo-antonio-do-descoberto-go-area-rural-938510,"Area Rural, ZONA RURAL, SANTO ANTONIO DO DESCOBERTO","Venda Rural 29,00 ha",29.0,290000.0,FAZENDA SÃO COSME E DAMIÃO,3300000.0,11.0,0,0,0,23698,0,Grande (10-100 ha),Alto (1.5M-5M)
/imovel/rural-3-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-5-985159,"Rua 5, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 2,00 ha",2.0,20000.0,"RUA 04 - 20.000 M2 COM IRRIGAÇÃO E 3 CASAS, PISCINA, OUTORGA",1800000.0,90.0,3,1,0,5776,4,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-4-quartos-venda-altiplano-leste-brasilia-df-rodovia-df-001-altiplano-leste-1112506,"Rodovia DF 001 Altiplano Leste, ALTIPLANO LESTE, BRASILIA","Venda Rural 0,04 ha",0.04,400.0,Chácara registrada escriturada no altiplano leste morro alto,2599900.0,7.0,6,2,10,25363,8,Pequeno (≤1 ha),Alto (1.5M-5M)
/imovel/rural-3-quartos-venda-ceilandia-sul-ceilandia-df-df-180-km-4-portaria-do-condominio-1234183,"DF 180 KM 4 (Portaria do Condomínio), CEILANDIA SUL, CEILANDIA","Venda Rural 0,04 ha",0.04,400.0,,1700000.0,4.0,3,1,20,9712,4,Pequeno (≤1 ha),Alto (1.5M-5M)
