url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci
/imovel/rural-3-quartos-venda-jardim-botanico-brasilia-df-rodovia-df-251-405372,"Rodovia DF 251, JARDIM BOTANICO, BRASILIA","Venda Rural 2,00 ha",2.0,20000.0,MARAVILHOSA CHÁCARA ÀS MARGENS DO RIO SÃO BARTOLOMEU!,500000.0,25.0,3,1,0,24203
/imovel/rural-3-quartos-venda-metropolitana-nucleo-bandeirante-df-via-metropolitana-1169072,"Via Metropolitana, METROPOLITANA, NUCLEO BANDEIRANTE","Venda Rural 0,04 ha",0.04,400.0,DF 190  - Chácara com área de lazer - casa de caseiro -  Samambaia Sul,490000.0,1.0,3,1,10,CJ1704
/imovel/rural-0-quartos-venda-zona-rural-luziania-go-area-rural-1080093,"Area Rural, ZONA RURAL, LUZIANIA","Venda Rural 3,08 ha",3.08,30800.0,BELISSIMA CHÁCARA A VENDA - UM  LUGAR MARAVILHOSO A POUCOS KM DE LUZIANIA !,749000.0,24.0,0,0,2,17420
/imovel/rural-0-quartos-venda-ponte-alta-gama-df-ponte-alta-norte-913611,"Ponte Alta Norte, PONTE ALTA, GAMA","Venda Rural 16,00 ha",16.0,160000.0,,3597000.0,22.0,0,0,0,27435
/imovel/rural-3-quartos-venda-planaltina-planaltina-df-nucleo-rural-rio-preto-1216096,"Núcleo Rural Rio Preto, PLANALTINA, PLANALTINA","Venda Rural 84,00 ha",84.0,840000.0,"Núcleo Rural do Rio Preto, Planaltina,  com córrego,  represa e muito mais.",2700000.0,3.0,3,0,0,19422
/imovel/rural-4-quartos-venda-samambaia-sul-samambaia-df-rodovia-br-060-1103219,"RODOVIA BR 060, SAMAMBAIA SUL, SAMAMBAIA","Venda Rural 20,00 ha",20.0,200000.0,BR 060 - KM 21 - NO DF - ESCRITURADA - PODE PARCELAR RURAL - AIRBNB NO CERRADO - - 20 HECTARES - 30,1450000.0,7.0,4,2,0,20940
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-826164,"Rodovia DF 130, PARANOA, PARANOA","Venda Rural 19,54 ha",19.54,195400.0,,1650000.0,8.0,0,0,0,5580
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-sobradinho-dos-melos-1137417,"SOBRADINHO DOS MELOS, PARANOA, PARANOA","Venda Rural 2,00 ha",2.0,20000.0,Chácara Paranoá DF -250 Plana Com Escritura e Registro.,750000.0,37.0,0,0,0,17954
/imovel/rural-2-quartos-venda-brazlandia-brazlandia-df-rodovia-df-220-1237096,"RODOVIA DF 220, BRAZLANDIA, BRAZLANDIA","Venda Rural 0,02 ha",0.02,200.0,"Área plana, excelente para o cultivo de hortaliça",1200000.0,6.0,2,0,0,27949
/imovel/rural-0-quartos-venda-zona-rural-planaltina-df-zona-rural-565705,"Zona Rural, ZONA RURAL, PLANALTINA","Venda Rural 0,02 ha",0.02,200.0,CHÁCARA COM BENFEITURIAS/ 4 QUARTOS/ POMAR E ÁREA DE PLANTIO/ BONSUCESSO/ PLANALTINA-DF,320000.0,1.0,0,0,0,23202
/imovel/rural-3-quartos-venda-lago-norte-brasilia-df-smln-ml-trecho-7-conjunto-1-912579,"SMLN ML Trecho 7 Conjunto 1, LAGO NORTE, BRASILIA","Venda Rural 0,03 ha",0.03,300.0,MARAVILHOSA CHÁCARA NO SETOR DE MANSÕES DO LAGO NORTE!,900000.0,3.0,3,1,2,24203
/imovel/rural-0-quartos-venda-colonia-agricola-samambaia-vicente-pires-df-chacara-51-356946,"Chacará 51, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES","Venda Rural 3,50 ha",3.5,35000.0,Terreno 35 mil m²  Vicente Pires.,4500000.0,128.0,0,0,0,17954
/imovel/rural-3-quartos-venda-lago-sul-brasilia-df-shis-qi-29-823377,"SHIS QI 29, LAGO SUL, BRASILIA","Venda Rural 35,00 ha",35.0,350000.0,Fazenda Altiplano Leste 35 Hectares,3800000.0,10.0,3,1,5,17954
/imovel/rural-0-quartos-venda-zona-rural-ceilandia-df-gleba-03-nucleo-rural-alexandre-gusmao-968126,"Gleba 03 Nucleo Rural Alexandre Gusmao, ZONA RURAL, CEILANDIA","Venda Rural 17,00 ha",17.0,170000.0,Chácara terreno com  17 ha  35 km do Plano de Piloto,4250000.0,25.0,0,0,0,17954
/imovel/rural-0-quartos-venda-setor-oeste-gama-df-ponte-alta-de-cima-569134,"Ponte Alta de Cima, SETOR OESTE, GAMA","Venda Rural 33,89 ha",33.89,338900.0,Venda Fazenda Setor Oeste Gama,4000000.0,11.0,0,0,0,23698
/imovel/rural-0-quartos-venda-jardim-botanico-brasilia-df-altiplano-leste-1211853,"Altiplano Leste, JARDIM BOTANICO, BRASILIA","Venda Rural 2,00 ha",2.0,20000.0,"Altiplano Leste Chácara de 20.000m², terra virgem",1200000.0,60.0,0,0,0,24787
/imovel/rural-0-quartos-venda-jardim-botanico-brasilia-df-altiplano-leste-968203,"Altiplano Leste, JARDIM BOTANICO, BRASILIA","Venda Rural 0,12 ha",0.12,1200.0,,6000000.0,5.0,0,0,20,26907
/imovel/rural-3-quartos-venda-zona-rural-ceilandia-df-br-190-km-02-entrada-do-nucleo-rural-boa-esperanca-1044143,"BR 190 km 02 (Entrada do Núcleo Rural Boa Esperança), ZONA RURAL, CEILANDIA","Venda Rural 0,03 ha",0.03,300.0,Casa com potencial de reforma em localização bucólica!,780000.0,3.0,3,2,0,21418
/imovel/rural-3-quartos-venda-setor-tradicional-brazlandia-df-area-especial-01-lote-unico-993668,"Área Especial 01 Lote Único, SETOR TRADICIONAL, BRAZLANDIA","Venda Rural 21,00 ha",21.0,210000.0,Chácara escriturada em Brazlândia com 21 hectares,3100000.0,14.0,3,1,4,30122
/imovel/rural-4-quartos-venda-recanto-das-emas-recanto-das-emas-df-avenida-vargem-da-bencao-1160768,"Avenida Vargem da Bênção, RECANTO DAS EMAS, RECANTO DAS EMAS","Venda Rural 0,02 ha",0.02,200.0,Avenida Vargem da Bênção | Chácara com 5 quartos - sendo 1 suíte - 5 vagas - varanda - Recanto das E,947000.0,4.0,5,1,5,CJ1704
/imovel/rural-4-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-790465,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 298,00 ha",298.0,2980000.0,Quebrada dos Neres,8500000.0,2.0,4,0,0,5580
/imovel/rural-4-quartos-venda-nova-colina-sobradinho-df-rodovia-df-330-1133211,"Rodovia DF 330, NOVA COLINA, SOBRADINHO","Venda Rural 5,60 ha",5.6,56000.0,"Chácara a venda formada - DF250 km 9,...",1650000.0,29.0,4,2,10,25364
/imovel/rural-0-quartos-venda-planaltina-planaltina-df-nucleo-rural-tabatinga-1191802,"NUCLEO RURAL TABATINGA, PLANALTINA, PLANALTINA","Venda Rural 115,00 ha",115.0,1150000.0,"115 HECTARES EM PLANALTINA/DF A 1,5 KM DO ALFALTO",4250000.0,3.0,0,0,0,4511
